CardID,R_Score,F_Score,M_Score,RFM_Segment,Segment
C0100106118,4,5,4,454,Lovers
C0100106295,2,4,4,244,Other
C0100106900,1,3,5,135,Other
C0100107248,5,1,5,515,Other
C0100107514,5,5,5,555,Soulmates
C0100107880,3,1,2,312,Other
C0100108032,4,3,2,432,Other
C0100108574,3,3,5,335,Other
C0100108852,3,1,1,311,Other
C0100109460,5,5,5,555,Soulmates
C0100109564,5,4,4,544,Lovers
C0100109701,2,1,1,211,Other
C0100109850,4,5,5,455,Lovers
C0100109889,5,1,2,512,Other
C0100110150,1,1,1,111,Other
C0100110245,2,2,4,224,Other
C0100111041,5,1,2,512,Other
C0100111492,3,2,4,324,Other
C0100111549,3,3,3,333,Other
C0100111640,5,5,2,552,Other
C0100111980,1,1,1,111,Other
C0100112684,3,3,4,334,Other
C0100112906,2,4,4,244,Other
C0100113395,3,1,4,314,Other
C0100113616,4,5,4,454,Lovers
C0100113705,2,3,3,233,Other
C0100113789,4,1,3,413,Other
C0100113887,5,5,5,555,Soulmates
C0100114158,4,1,5,415,Other
C0100114248,5,4,4,544,Lovers
C0100114487,2,3,5,235,Other
C0100114827,5,3,3,533,Other
C0100114828,3,3,4,334,Other
C0100115071,1,3,4,134,Other
C0100115072,2,4,4,244,Other
C0100115245,5,4,3,543,Other
C0100115812,3,1,1,311,Other
C0100115882,3,2,2,322,Other
C0100116898,5,5,5,555,Soulmates
C0100117226,3,3,2,332,Other
C0100117330,4,1,1,411,Other
C0100117644,4,1,3,413,Other
C0100117804,2,2,4,224,Other
C0100118006,5,5,5,555,Soulmates
C0100118035,4,2,3,423,Other
C0100118078,1,1,1,111,Other
C0100118157,5,3,5,535,Other
C0100118454,4,4,2,442,Other
C0100118773,3,4,3,343,Other
C0100118829,2,4,3,243,Other
C0100119247,2,2,2,222,Other
C0100119429,4,1,3,413,Other
C0100119574,2,4,3,243,Other
C0100120001,5,2,4,524,Other
C0100120253,1,2,2,122,Other
C0100120343,4,1,4,414,Other
C0100121324,2,5,5,255,Other
C0100121439,5,1,2,512,Other
C0100121855,3,2,2,322,Other
C0100122073,1,5,5,155,Ex-Lovers
C0100122230,5,1,2,512,Other
C0100122574,2,2,2,222,Other
C0100122763,4,5,5,455,Lovers
C0100122837,5,2,5,525,Other
C0100122849,5,3,2,532,Other
C0100123447,5,5,5,555,Soulmates
C0100124048,3,1,1,311,Other
C0100124073,3,5,5,355,Other
C0100124336,5,3,3,533,Other
C0100124719,2,3,3,233,Other
C0100124914,1,2,2,122,Other
C0100125071,5,2,3,523,Other
C0100125423,1,2,1,121,Other
C0100125853,3,1,2,312,Other
C0100125930,3,4,1,341,Other
C0100126148,4,5,5,455,Lovers
C0100126391,2,1,1,211,Other
C0100126477,5,5,1,551,Other
C0100126931,3,3,3,333,Other
C0100127232,1,1,2,112,Other
C0100127259,1,1,2,112,Other
C0100127302,3,5,5,355,Other
C0100127416,3,3,4,334,Other
C0100127761,2,3,4,234,Other
C0100128436,1,1,1,111,Other
C0100128838,4,5,3,453,Other
C0100128877,4,1,2,412,Other
C0100129953,2,3,2,232,Other
C0100130024,4,1,3,413,Other
C0100130378,1,1,3,113,Other
C0100130982,3,3,3,333,Other
C0100131348,2,2,2,222,Other
C0100131384,4,4,4,444,Lovers
C0100131884,4,1,3,413,Other
C0100131916,1,2,4,124,Other
C0100131999,5,3,5,535,Other
C0100132070,2,1,1,211,Other
C0100132227,5,2,4,524,Other
C0100132313,1,1,1,111,Other
C0100132560,4,1,1,411,Other
C0100132621,5,5,5,555,Soulmates
C0100132901,1,2,2,122,Other
C0100132978,5,5,5,555,Soulmates
C0100133007,1,5,2,152,Other
C0100133344,2,2,2,222,Other
C0100133390,5,5,5,555,Soulmates
C0100133449,3,1,2,312,Other
C0100133561,4,1,1,411,Other
C0100133584,3,2,2,322,Other
C0100133869,3,3,4,334,Other
C0100133975,1,1,1,111,Other
C0100134174,3,5,4,354,Other
C0100134279,3,1,5,315,Other
C0100134404,1,3,4,134,Other
C0100134480,4,1,4,414,Other
C0100134659,4,2,3,423,Other
C0100134716,3,2,3,323,Other
C0100134815,5,5,1,551,Other
C0100135502,5,3,5,535,Other
C0100136348,2,4,5,245,Other
C0100136527,1,2,3,123,Other
C0100136596,2,2,4,224,Other
C0100136612,2,5,5,255,Other
C0100137022,3,4,5,345,Other
C0100137395,2,3,4,234,Other
C0100137600,3,1,1,311,Other
C0100137960,3,2,5,325,Other
C0100138567,2,2,5,225,Other
C0100138868,4,2,3,423,Other
C0100138957,2,3,2,232,Other
C0100138972,3,2,3,323,Other
C0100139277,5,2,2,522,Other
C0100139360,4,5,5,455,Lovers
C0100139400,5,5,5,555,Soulmates
C0100139484,1,1,1,111,Other
C0100140015,3,3,2,332,Other
C0100140196,1,5,2,152,Other
C0100140207,2,3,1,231,Other
C0100141427,3,1,4,314,Other
C0100141635,1,1,1,111,Other
C0100141719,2,1,4,214,Other
C0100141793,3,4,1,341,Other
C0100141847,4,1,1,411,Other
C0100142087,3,1,3,313,Other
C0100142120,2,1,3,213,Other
